INFO 2024-11-20 07:50:51,520 views This is an info message
WARNING 2024-11-20 07:50:51,521 views This is a warning message
ERROR 2024-11-20 07:50:51,521 views This is an error message
CRITICAL 2024-11-20 07:50:51,521 views This is a critical message
INFO 2024-11-20 07:50:51,522 basehttp "POST /button-action/ HTTP/1.1" 200 60
INFO 2024-11-20 07:50:58,753 views This is an info message
WARNING 2024-11-20 07:50:58,754 views This is a warning message
ERROR 2024-11-20 07:50:58,754 views This is an error message
CRITICAL 2024-11-20 07:50:58,754 views This is a critical message
INFO 2024-11-20 07:50:58,755 basehttp "POST /button-action/ HTTP/1.1" 200 60
INFO 2024-11-20 08:51:03,188 basehttp "GET /admin/theblog/post/2/change/ HTTP/1.1" 200 18912
INFO 2024-11-20 08:51:03,341 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2024-11-20 08:51:08,036 basehttp "GET /admin/theblog/post/ HTTP/1.1" 200 10575
INFO 2024-11-20 08:51:08,083 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2024-11-20 08:51:10,331 basehttp "GET /admin/theblog/post/3/change/ HTTP/1.1" 200 44483
INFO 2024-11-20 08:51:10,386 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2024-11-20 12:24:55,401 views This is an info message
WARNING 2024-11-20 12:24:55,402 views This is a warning message
ERROR 2024-11-20 12:24:55,402 views This is an error message
CRITICAL 2024-11-20 12:24:55,402 views This is a critical message
INFO 2024-11-20 12:24:55,404 basehttp "POST /button-action/ HTTP/1.1" 200 60
INFO 2024-11-20 12:24:57,989 views This is an info message
WARNING 2024-11-20 12:24:57,990 views This is a warning message
ERROR 2024-11-20 12:24:57,990 views This is an error message
CRITICAL 2024-11-20 12:24:57,990 views This is a critical message
INFO 2024-11-20 12:24:57,991 basehttp "POST /button-action/ HTTP/1.1" 200 60
INFO 2024-11-20 12:25:03,139 views This is an info message
WARNING 2024-11-20 12:25:03,139 views This is a warning message
ERROR 2024-11-20 12:25:03,139 views This is an error message
CRITICAL 2024-11-20 12:25:03,140 views This is a critical message
INFO 2024-11-20 12:25:03,141 basehttp "POST /button-action/ HTTP/1.1" 200 60
INFO 2024-11-20 12:25:07,292 views This is an info message
WARNING 2024-11-20 12:25:07,292 views This is a warning message
ERROR 2024-11-20 12:25:07,292 views This is an error message
CRITICAL 2024-11-20 12:25:07,293 views This is a critical message
INFO 2024-11-20 12:25:07,293 basehttp "POST /button-action/ HTTP/1.1" 200 60
INFO 2024-11-20 12:26:55,201 autoreload C:\Simpleblog\django-blog\django-blog\theblog\models.py changed, reloading.
INFO 2024-11-20 12:26:56,154 autoreload Watching for file changes with StatReloader
INFO 2024-11-20 12:27:18,079 autoreload C:\Simpleblog\django-blog\django-blog\theblog\models.py changed, reloading.
INFO 2024-11-20 12:27:18,849 autoreload Watching for file changes with StatReloader
INFO 2024-11-20 12:28:14,583 autoreload C:\Simpleblog\django-blog\django-blog\theblog\views.py changed, reloading.
INFO 2024-11-20 12:28:15,373 autoreload Watching for file changes with StatReloader
INFO 2024-11-20 12:28:44,554 autoreload C:\Simpleblog\django-blog\django-blog\theblog\urls.py changed, reloading.
INFO 2024-11-20 12:28:45,382 autoreload Watching for file changes with StatReloader
INFO 2024-11-20 12:46:11,744 autoreload Watching for file changes with StatReloader
INFO 2024-11-20 12:46:17,294 basehttp "GET /admin/theblog/post/3/change/ HTTP/1.1" 200 46445
INFO 2024-11-20 12:46:17,384 basehttp "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,396 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,402 basehttp "GET /static/froala_editor/css/froala_editor.min.css HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,405 basehttp "GET /static/froala_editor/css/froala_style.min.css HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,408 basehttp "GET /static/froala_editor/css/plugins/char_counter.min.css HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,411 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2024-11-20 12:46:17,414 basehttp "GET /static/admin/css/forms.css HTTP/1.1" 304 0
